sample_id,width,height,ground_truth_foreground_pixels,predicted_foreground_pixels,true_positive,true_negative,false_positive,false_negative,dice,iou,precision,recall,specificity,balanced_accuracy,pixel_accuracy,mcc,binary_cross_entropy,foreground_area_error_percent
fc9269fb2e651cd4a32b65ae164f79b0a2ea823e0a83508c85d7985a6bed43cf,256,256,786,864,784,64670,80,2,0.9503030303030303,0.9053117782909931,0.9074074074074074,0.9974554707379135,0.9987644787644787,0.9981099747511961,0.998748779296875,0.950761038957807,0.0032618610742736216,9.923664122137405
4cbd6c37f3a55a538d759d440344c287cac66260d3047a83f429e63e7a0f7f20,320,256,4254,3494,3393,77565,101,861,0.8758389261744967,0.7791044776119403,0.9710933028048082,0.7976022566995769,0.9986995596528726,0.8981509081762247,0.9882568359375,0.8743804433802995,0.03650220455093518,17.865538316878233
dabfee30b46d23569c63fa7253ef10b2407fbe8023035a5030252313cb718097,256,256,1613,1558,1503,63868,55,110,0.9479659413434248,0.9010791366906474,0.9646983311938383,0.9318040917544947,0.999139589819001,0.9654718407867479,0.9974822998046875,0.9468258585331959,0.005724190604420143,3.4097954122752636
0a7d30b252359a10fd298b638b90cb9ada3acced4e0c0e5a3692013f432ee4e9,256,256,9050,7145,6922,56263,223,2128,0.8548317381907996,0.7464682411301629,0.9687893631910427,0.7648618784530387,0.9960521191091598,0.8804569987810993,0.9641265869140625,0.8422794419410778,0.11843306092169734,21.049723756906076
ec031f176dafe0b36547068ce42eab39428ec7995dac1b3ea52d1db79b61fdeb,256,256,1323,1384,1318,64147,66,5,0.9737717029922424,0.9488840892728582,0.9523121387283237,0.9962207105064248,0.9989721707442418,0.9975964406253333,0.9989166259765625,0.9734766026795868,0.0025366874156705563,4.610733182161754
c169a7782a69ea2f38f64d2739de189e88adbcfd4a829721def8c89ecabe8b71,360,360,37446,33698,33571,92027,127,3875,0.943747891600135,0.8934873446357757,0.9962312303400795,0.89651765208567,0.998621872083686,0.947569762084678,0.9691203703703704,0.9249849151185356,0.09261009425147368,10.00907974149442
57d88f45e479ce3821839b2706d667758c63ac769d76800d815c73d2507c1e42,256,256,16029,10822,10328,49013,494,5701,0.7692823358534133,0.6250680869091569,0.9543522454259841,0.6443321479817831,0.9900216131052174,0.8171768805435002,0.9054718017578125,0.734370192252138,0.3531225877973644,32.48487117100256
53ad09e4348767bece0165884bf40c10b72ae18444e3f414a850442f02385efc,696,520,85603,81172,79731,274876,1441,5872,0.9561505021735872,0.9159850190708148,0.982247573054748,0.9314042732147237,0.9947849752277276,0.9630946242212257,0.9797938770999116,0.9435970432772244,0.05577165083437705,5.176220459563333
2227fd9b01d67c2bcdb407d3205214e6dfeff9fd0725828e3b3651959942ff4a,256,256,4942,4790,4191,59995,599,751,0.8612823674475956,0.7563616675690309,0.8749478079331942,0.8480372318899231,0.9901145327920257,0.9190758823409744,0.979400634765625,0.8502805522666376,0.09081863445734609,3.075677863213274
0b2e702f90aee4fff2bc6e4326308d50cf04701082e718d4f831c8959fbcda93,256,256,945,947,930,64574,17,15,0.9830866807610994,0.9667359667359667,0.9820485744456178,0.9841269841269841,0.99973680543729,0.9919318947821371,0.99951171875,0.982839530004224,0.001495762891347451,0.21164021164021163
0bf33d3db4282d918ec3da7112d0bf0427d4eafe74b3ee0bb419770eefe8d7d6,320,256,10120,9252,8726,71274,526,1394,0.9008878794135866,0.8196505729851588,0.9431474275832252,0.8622529644268775,0.9926740947075209,0.9274635295671991,0.9765625,0.8887756049986917,0.07256776140935832,8.577075098814229
a5e695fce80dc03efb6665a9ec14500ab47f4ee9f6437531388dd3cc32c90db1,640,512,44775,41771,39229,280363,2542,5546,0.9065468074781041,0.8290677769089334,0.9391443824663044,0.8761362367392518,0.9910146515614783,0.933575444150365,0.9753173828125,0.8930616344812968,0.07375334804672219,6.7091010608598545
e66a97b2c77f3d66a7d3cebbc6a36c8c6259368a397f7b67647ed80ad53aa776,256,256,1971,1941,1844,63468,97,127,0.9427402862985685,0.8916827852998066,0.9500257599175682,0.9355657026889903,0.9984740029890663,0.9670198528390284,0.99658203125,0.94100823182276,0.016462255059477366,1.5220700152207
20b20ab049372d184c705acebe7af026d3580f5fd5a72ed796e3622e1685af2f,1272,603,35882,32287,28952,727799,3335,6930,0.8494183573178424,0.7382512685825025,0.8967076532350482,0.8068669527896996,0.9954385926519626,0.901152772720831,0.9866169675730363,0.8437215995434381,0.03542059322963838,10.01895100607547
d4d6c683f249d82518431603bf0206d05f2114ac871a99ffade0f5f61cf167e1,256,256,1597,1638,1551,63852,87,46,0.958887171561051,0.921021377672209,0.9468864468864469,0.971195992485911,0.9986393281096044,0.9849176602977577,0.9979705810546875,0.9579278359665941,0.00478220584583203,2.567313713212273
27c30f9011492f234e4587c9a4b53c787037d486f658821196fe354240ac3c47,256,256,4963,5184,4854,60243,330,109,0.9567359810781512,0.9170602682788589,0.9363425925925926,0.9780374773322588,0.9945520281313457,0.9862947527318022,0.9933013916015625,0.9533731763191903,0.017205256009570565,4.452951843642958
3441821ebea04face181c9e2f4d0d09727c764827ac51b9e7fbadbebabeab225,360,360,38077,35547,35142,91118,405,2935,0.9546343583614039,0.9132061743152643,0.988606633471179,0.9229193476376816,0.9955748828163412,0.9592471152270114,0.9742283950617284,0.9377457720823266,0.07153100789522762,6.644431021351472
54cb3328e778d87f76062b0550e3bc190f46384acd8efbe58c297265d1906e84,256,256,4257,4236,3899,60942,337,358,0.9181679029789238,0.848715716151502,0.9204438149197356,0.9159032182287996,0.9945005629987435,0.9552018906137716,0.9893951416015625,0.9125013165005144,0.043185510876106614,0.49330514446793516
5ba4facefc949c920d7054813a3e846b000969da2ed860148bdfd18456f59bcc,360,360,40546,35855,35672,88871,183,4874,0.933809766887868,0.8758378550909671,0.9948961093292428,0.8797908548315494,0.9979450670379769,0.9388679609347632,0.9609799382716049,0.9097366181379254,0.1174034662341017,11.569575297193312
66612c188d73e931e1863af2c99d2af782c32f65fd97d224abb40bbadb87263f,256,256,3485,3577,3376,61850,201,109,0.9561030869442084,0.9158979924036896,0.9438076600503215,0.9687230989956959,0.9967607290776942,0.9827419140366951,0.995269775390625,0.9536941472640574,0.01705609586371598,2.6398852223816354
091944f1d2611c916b98c020bd066667e33f4639159b2a92407fe5a40788856d,1024,1024,13357,400,226,1035045,174,13131,0.03285600058152213,0.016702387111078264,0.565,0.016919967058471215,0.9998319196228045,0.5083759433406378,0.9873113632202148,0.09620268765222975,0.07376055600079655,97.00531556487235
2ab91a4408860ae8339689ed9f87aa9359de1bdd4ca5c2eab7fff7724dbd6707,256,256,4138,4498,3935,60835,563,203,0.9113015284854099,0.8370559455435014,0.8748332592263228,0.9509424842919285,0.9908303202058699,0.9708864022488992,0.988311767578125,0.905959175018261,0.048851892886494316,8.699855002416626
f9ea1a1159c33f39bbe5f18bb278d961188b40508277eab7c0b4b91219b37b5d,360,360,24834,23559,23326,104533,233,1508,0.9640237224391958,0.9305461363545697,0.9901099367545312,0.9392767979383104,0.9977759960292462,0.9685263969837783,0.9865663580246914,0.9562737761003514,0.03887401833141646,5.134090359990336
